Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population
Korea North -,114.0,219.0,228.0,0.1,0.1,
Korea South,-66007.4,65541.8,131549.2,0.5,0.25,
Kosovo,15.4,49.4,34.0,0.1,0.1,1756366.0
Kuwait,768.2,2411.8,1643.6,0.1,0.1,4853420.0
Kyrgyzstan,116.5,133.1,16.7,0.1,0.1,
Laos,-762.9,40.4,803.3,0.95,0.47,
Lebanon,283.8,541.4,257.6,0.1,0.1,5773493.0
Lesotho,-234.5,2.8,237.3,0.99,0.49,2311472.0
Liberia,147.9,220.4,72.5,0.1,0.1,5493031.0
Libya,-898.3,567.2,1465.6,0.61,0.31,7305659.0
Liechtenstein,-177.7,66.0,243.7,0.73,0.36,39850.0
Macau,166.3,275.1,108.8,0.1,0.1,
Madagascar,-679.8,53.4,733.2,0.93,0.46,31195932.0
Malawi,-14.1,26.9,41.1,0.34,0.17,21104482.0
Malaysia,-24830.1,27704.8,52534.8,0.47,0.24,35126298.0
Maldives,87.8,92.6,4.8,0.1,0.1,525994.0
Mali,46.0,51.5,5.5,0.1,0.1,23769127.0
Marshall Islands,107.0,127.4,20.4,0.1,0.1,38827.0
Martinique,196.4,199.2,2.8,0.1,0.1,
Mauritania,136.9,139.8,2.9,0.1,0.1,5022441.0
Mauritius,-186.5,48.0,234.5,0.8,0.4,1261041.0
Mayotte,-0.1,1.8,1.9,0.1,0.1,
Mexico,-171809.2,334041.4,505850.6,0.34,0.17,129739759.0
Micronesia,48.0,50.5,2.4,0.1,0.1,112630.0
Moldova,-82.9,53.6,136.5,0.61,0.3,2457783.0
Monaco,115.2,162.8,47.6,0.1,0.1,38956.0
Mongolia,369.6,396.6,27.0,0.1,0.1,3481145.0
Montenegro,12.3,27.7,15.4,0.1,0.1,616177.0
Montserrat,6.4,12.1,5.6,0.1,0.1,
Morocco,3363.8,5268.6,1904.9,0.1,0.1,37712505.0
Mozambique,-66.4,149.7,216.1,0.31,0.15,33635160.0
Namibia,-114.7,160.5,275.2,0.42,0.21,2963095.0
Nauru,-1.3,0.9,2.2,0.59,0.3,11875.0
Nepal,0.4,120.9,120.5,0.1,0.1,29694614.0
New Caledonia,-4.5,29.4,33.8,0.13,0.1,289870.0
New Zealand,-1117.6,4499.4,5617.0,0.2,0.1,5223100.0
Nicaragua,-1681.3,2941.0,4622.3,0.36,0.18,6823613.0
Niger,34.9,43.3,8.3,0.1,0.1,26159867.0
Nigeria,-1524.9,4174.3,5699.2,0.27,0.13,227882945.0
Niue,-3.7,0.6,4.3,0.86,0.43,
Norfolk Island -,100.0,230.0,224.0,0.1,0.1,
North Macedonia,-113.1,60.6,173.7,0.65,0.33,1827816.0
Norway,-1991.3,4592.0,6583.3,0.3,0.15,5519594.0
Oman,634.3,1954.3,1320.0,0.1,0.1,5049269.0
Pakistan,-2988.5,2135.1,5123.7,0.58,0.29,247504495.0
Palau,18.8,21.0,2.2,0.1,0.1,17727.0
Panama,10146.3,10702.1,555.8,0.1,0.1,4458759.0
Papua New Guinea,-12.0,67.2,79.2,0.15,0.1,10389635.0
Paraguay,2802.3,3158.4,356.2,0.1,0.1,6844146.0
Peru,1860.6,11223.8,9363.2,0.1,0.1,33845617.0
